Log_File,Child_Node,Reward
epistemic_75,1,0.78
epistemic_75,2,0.66
epistemic_75,3,0.76
epistemic_75,4,0.48
epistemic_75,5,0.46
epistemic_75,6,0.72
epistemic_75,7,0.44
epistemic_75,8,0.6
epistemic_75,9,0.72
epistemic_75,10,0.82
epistemic_75,11,0.8
epistemic_75,12,0.44
epistemic_75,13,0.56
epistemic_75,14,0.62
epistemic_75,15,0.58
epistemic_75,16,0.58
epistemic_75,17,0.42
epistemic_75,18,0.72
epistemic_75,19,0.7
epistemic_75,20,0.62
epistemic_75,21,0.54
epistemic_75,22,0.6
epistemic_75,23,0.58
epistemic_75,24,0.64
epistemic_75,25,0.66
epistemic_75,26,0.5
epistemic_75,27,0.58
epistemic_75,28,0.62
epistemic_75,29,0.6
epistemic_75,30,0.54
penguins_in_a_table_52,1,0.88
penguins_in_a_table_52,2,0.8
penguins_in_a_table_52,3,0.72
penguins_in_a_table_52,4,0.82
penguins_in_a_table_52,5,0.8
penguins_in_a_table_52,6,0.68
penguins_in_a_table_52,7,0.8
penguins_in_a_table_52,8,0.74
penguins_in_a_table_52,9,0.78
penguins_in_a_table_52,10,0.84
penguins_in_a_table_52,11,0.84
penguins_in_a_table_52,12,0.8
penguins_in_a_table_52,13,0.78
penguins_in_a_table_52,14,0.76
penguins_in_a_table_52,15,0.86
penguins_in_a_table_52,16,0.74
penguins_in_a_table_52,17,0.68
penguins_in_a_table_52,18,0.88
penguins_in_a_table_52,19,0.82
penguins_in_a_table_52,20,0.7
penguins_in_a_table_52,21,0.78
penguins_in_a_table_52,22,0.86
penguins_in_a_table_52,23,0.78
penguins_in_a_table_52,24,0.76
penguins_in_a_table_52,25,0.82
penguins_in_a_table_52,26,0.76
penguins_in_a_table_52,27,0.68
penguins_in_a_table_52,28,0.72
penguins_in_a_table_52,29,0.92
penguins_in_a_table_52,30,0.86
object_counting_90,1,0.24
object_counting_90,2,0.2
object_counting_90,3,0.24
object_counting_90,4,0.24
object_counting_90,5,0.26
object_counting_90,6,0.24
object_counting_90,7,0.26
object_counting_90,8,0.56
object_counting_90,9,0.2
object_counting_90,10,0.46
object_counting_90,11,0.44
object_counting_90,12,0.54
object_counting_90,13,0.3
object_counting_90,14,0.68
object_counting_90,15,0.38
object_counting_90,16,0.16
object_counting_90,17,0.32
object_counting_90,18,0.26
object_counting_90,19,0.3
object_counting_90,20,0.76
object_counting_90,21,0.22
object_counting_90,22,0.72
object_counting_90,23,0.48
object_counting_90,24,0.56
object_counting_90,25,0.26
object_counting_90,26,0.74
object_counting_90,27,0.22
object_counting_90,28,0.46
object_counting_90,29,0.3
object_counting_90,30,0.24
object_counting_90,31,0.86
object_counting_90,32,0.26
object_counting_90,33,0.62
penguins_in_a_table_17,1,0.8
penguins_in_a_table_17,2,0.72
penguins_in_a_table_17,3,0.72
penguins_in_a_table_17,4,0.82
penguins_in_a_table_17,5,0.78
penguins_in_a_table_17,6,0.86
penguins_in_a_table_17,7,0.64
penguins_in_a_table_17,8,0.88
penguins_in_a_table_17,9,0.86
penguins_in_a_table_17,10,0.92
penguins_in_a_table_17,11,0.78
penguins_in_a_table_17,12,0.68
penguins_in_a_table_17,13,0.78
penguins_in_a_table_17,14,0.78
penguins_in_a_table_17,15,0.8
penguins_in_a_table_17,16,0.9
penguins_in_a_table_17,17,0.76
penguins_in_a_table_17,18,0.78
penguins_in_a_table_17,19,0.84
penguins_in_a_table_17,20,0.78
penguins_in_a_table_17,21,0.8
penguins_in_a_table_17,22,0.84
penguins_in_a_table_17,23,0.82
penguins_in_a_table_17,24,0.82
penguins_in_a_table_17,25,0.78
penguins_in_a_table_17,26,0.78
penguins_in_a_table_17,27,0.74
penguins_in_a_table_17,28,0.92
penguins_in_a_table_17,29,0.76
penguins_in_a_table_17,30,0.82
geometric_shapes_37,1,0.26
geometric_shapes_37,2,0.24
geometric_shapes_37,3,0.28
geometric_shapes_37,4,0.16
geometric_shapes_37,5,0.32
